x,t=15s,t=30s,t=60s,t=90s,t=150s,t=210s
0.000628,42.9007,49.9682,55.7152,57.3401,57.9295,57.9766
0.000632,42.8977,49.9652,55.7122,57.3371,57.9265,57.9736
0.000636,42.8947,49.9622,55.7092,57.3341,57.9235,57.9706
0.00064,42.8917,49.9592,55.7062,57.3311,57.9205,57.9676
0.000644,42.8888,49.9562,55.7032,57.3282,57.9175,57.9646
0.000648,42.8858,49.9532,55.7002,57.3252,57.9145,57.9616
0.000652,42.8828,49.9503,55.6973,57.3222,57.9116,57.9587
0.000656,42.8798,49.9473,55.6943,57.3192,57.9086,57.9557
0.00066,42.8768,49.9443,55.6913,57.3162,57.9056,57.9527
0.000664,42.8738,49.9413,55.6883,57.3132,57.9026,57.9497
0.000668,42.8709,49.9383,55.6853,57.3103,57.8996,57.9467
0.000672,42.8679,49.9353,55.6823,57.3073,57.8966,57.9438
0.000676,42.8649,49.9324,55.6794,57.3043,57.8937,57.9408
0.00068,42.8619,49.9294,55.6764,57.3013,57.8907,57.9378
0.000684,42.8589,49.9264,55.6734,57.2983,57.8877,57.9348
0.000688,42.856,49.9234,55.6704,57.2954,57.8847,57.9318
0.000692,42.853,49.9204,55.6674,57.2924,57.8817,57.9289
0.000696,42.85,49.9175,55.6645,57.2894,57.8788,57.9259
0.0007,42.847,49.9145,55.6615,57.2864,57.8758,57.9229
0.000704,42.844,49.9115,55.6585,57.2834,57.8728,57.9199
0.000708,42.8411,49.9085,55.6555,57.2805,57.8698,57.9169
0.000712,42.8381,49.9055,55.6526,57.2775,57.8668,57.914
0.000716,42.8351,49.9026,55.6496,57.2745,57.8639,57.911
0.00072,42.8321,49.8996,55.6466,57.2715,57.8609,57.908
0.000724,42.8292,49.8966,55.6436,57.2686,57.8579,57.905
0.000728,42.8262,49.8936,55.6406,57.2656,57.8549,57.9021
0.000732,42.8232,49.8907,55.6377,57.2626,57.852,57.8991
0.000736,42.8202,49.8877,55.6347,57.2596,57.849,57.8961
